asin,brand,color,medium_image_url,product_type_name,title,formatted_price
B01DTILC2Y,Living Dead Souls,Black/Pink Plaid,https://images-na.ssl-images-amazon.com/images/I/513UFla0qqL._SL160_.jpg,SHIRT,lds gothic emo punk rocker sexy school lolita plaid top shirt xs ,$14.99
B00RA6L2XG,Purys,Ivory,https://images-na.ssl-images-amazon.com/images/I/41UVvXbW94L._SL160_.jpg,SHIRT,purys womens regular fit shirt large ivory ,$19.00
B01HOXZ3WU,Drew Shoe,Indigo,https://images-na.ssl-images-amazon.com/images/I/31zlmEQAQfL._SL160_.jpg,SHIRT,drew womens drake open back halter top sz indigo 230633e ,$57.99
B01DOLPT16,Maison Jules,Hibiscus,https://images-na.ssl-images-amazon.com/images/I/41gwhG4wXKL._SL160_.jpg,SHIRT,maison jules embroidered sleeveless blouse hibiscus xxl ,$24.90
B072HPF4Q1,RED HAUTE,Navy,https://images-na.ssl-images-amazon.com/images/I/515mpEVs6%2BL._SL160_.jpg,SHIRT,red haute womens hooded striped caftan navy small ,$43.00
B074P8MD22,Edista,Black,https://images-na.ssl-images-amazon.com/images/I/51fWoPakO6L._SL160_.jpg,SHIRT,edista embellished zebra womens small tank cami black ,$53.79
B01KDCI9MU,Avia,White/Pink,https://images-na.ssl-images-amazon.com/images/I/21Ycc3zXbCL._SL160_.jpg,SHIRT,and1 womens contrast mesh seamed tank medium whitehot pink ,$12.77
B074V9R6ZF,James Perse,White,https://images-na.ssl-images-amazon.com/images/I/31Xv4zUzGnL._SL160_.jpg,SHIRT,james perse bright womens roundedhem button top white 2 ,$28.03
B01LZGOWCL,Dresswell,White,https://images-na.ssl-images-amazon.com/images/I/517r2apOlNL._SL160_.jpg,SHIRT,dresswell white long sleeve top quality casual women xxl ,$19.56
B071Z8XD77,Tee's Plus,White,https://images-na.ssl-images-amazon.com/images/I/41otZ%2BGo3dL._SL160_.jpg,SHIRT,st patricks day  keep calm get irish juniors tshirt  xsmall ,$16.95
B01LZTRW15,MOSCHINO,Black,https://images-na.ssl-images-amazon.com/images/I/51JjlzJKJ5L._SL160_.jpg,SHIRT,moschino womens black silk chain link blouse us 8 ,$450.00
B01J9OE57Q,Wild Flower,Camel,https://images-na.ssl-images-amazon.com/images/I/4167PiS1v8L._SL160_.jpg,SHIRT,wildflower womens faux suede fringe vest xlarge camel ,$52.24
B00SR0HFH6,I-MART,White Black,https://images-na.ssl-images-amazon.com/images/I/51RymKZ8iNL._SL160_.jpg,SHIRT,half shirt detachable fake false faux collar cuff cotton choker tie white black ,$9.99
B06X9JXQY4,Sankuwen,Black,https://images-na.ssl-images-amazon.com/images/I/41tKQX75QJL._SL160_.jpg,SHIRT,sankuwen women casual tops backless short shirt tank top xl black ,$4.50
B00QXQ0HFI,THE MESH KING,Coral,https://images-na.ssl-images-amazon.com/images/I/41CzRzu1EKL._SL160_.jpg,SHIRT,coqueta tank top open back sexy halter knotted tunic backless sport shirt coralmedium ,$12.95
